method,fold,accuracy,auc,precision,recall,f1
CNN_v1,1,0.5875486381322957,0.5919270951796085,0.6608187134502924,0.4232209737827715,0.5159817351598174
CNN_v1,2,0.5883668903803132,0.6619125836304636,0.5685483870967742,0.6467889908256881,0.6051502145922747
CNN_v1,3,0.5584677419354839,0.6021995184486236,0.5862068965517241,0.468503937007874,0.5207877461706784
CNN_v1,4,0.6193548387096774,0.659223767944354,0.6160337552742616,0.6293103448275862,0.6226012793176973
CNN_v1,5,0.5577777777777778,0.5859277585353785,0.5487804878048781,0.4186046511627907,0.47493403693931396
GCN,1,0.5739299610894941,0.5786744302415503,0.6379310344827587,0.4157303370786517,0.5034013605442177
GCN,2,0.6129753914988815,0.6745523015904812,0.5982532751091703,0.6284403669724771,0.6129753914988815
GCN,3,0.6129032258064516,0.6641992581505824,0.6123188405797102,0.6653543307086615,0.6377358490566037
GCN,4,0.5720430107526882,0.6304203048690248,0.5570934256055363,0.6939655172413793,0.6180422264875239
GCN,5,0.5777777777777777,0.6267392380009895,0.5510204081632653,0.627906976744186,0.5869565217391305
XGBoost_struct,1,0.5525291828793775,0.5606756736265903,0.5793991416309013,0.5056179775280899,0.54
XGBoost_struct,2,0.610738255033557,0.6441448659909459,0.5956521739130435,0.6284403669724771,0.6116071428571429
XGBoost_struct,3,0.5866935483870968,0.6376163206871868,0.6016597510373444,0.5708661417322834,0.5858585858585859
XGBoost_struct,4,0.5956989247311828,0.6259989640372947,0.602803738317757,0.5560344827586207,0.57847533632287
XGBoost_struct,5,0.5911111111111111,0.6278377041068778,0.5727699530516432,0.5674418604651162,0.5700934579439252
SVM_struct,1,0.5758754863813229,0.6093799754355638,0.6008230452674898,0.5468164794007491,0.5725490196078431
SVM_struct,2,0.5480984340044742,0.5877769320139418,0.532520325203252,0.6009174311926605,0.5646551724137931
SVM_struct,3,0.5907258064516129,0.6444979501529251,0.5977011494252874,0.6141732283464567,0.6058252427184466
SVM_struct,4,0.5741935483870968,0.6027915495042179,0.5685483870967742,0.6077586206896551,0.5875
SVM_struct,5,0.5666666666666667,0.6155764473033152,0.543859649122807,0.5767441860465117,0.5598194130925508
Enhanced_Ensemble,1,0.6424474187380497,0.7126769626769627,0.6546184738955824,0.6174242424242424,0.6354775828460039
Enhanced_Ensemble,2,0.6180048661800487,0.6766354696185092,0.65,0.5990783410138248,0.6235011990407674
Enhanced_Ensemble,3,0.6800766283524904,0.7448877658949347,0.6705882352941176,0.6732283464566929,0.6719056974459725
Enhanced_Ensemble,4,0.6163522012578616,0.667258972554539,0.6129032258064516,0.5732758620689655,0.5924276169265034
Enhanced_Ensemble,5,0.6400911161731208,0.6975508509755086,0.639269406392694,0.639269406392694,0.639269406392694
