miRNA_ID,n_samples,n_disease,n_benign,accuracy,auc,mean_prob
hsa-mir-8078,40,8,32,0.825,0.5781,0.4364
hsa-mir-3648-2,18,6,12,0.6667,0.4306,0.271
hsa-mir-1234,11,1,10,0.9091,0.1,0.183
hsa-mir-3689b,11,6,5,0.5455,0.5667,0.7724
hsa-mir-9901,11,0,11,0.0909,,0.6805
hsa-mir-4538,8,5,3,0.625,0.0,0.9392
hsa-mir-518d,8,5,3,0.625,0.8,0.9449
hsa-mir-4537,8,8,0,0.0,,0.3578
hsa-mir-6859-2,8,0,8,1.0,,0.3538
hsa-mir-548i-2,8,5,3,0.375,0.5333,0.3352
hsa-mir-758,8,8,0,1.0,,0.7548
hsa-mir-3689f,7,1,6,0.1429,0.0,0.7303
hsa-mir-518b,7,7,0,1.0,,0.6039
hsa-mir-3648-1,7,0,7,1.0,,0.4043
hsa-mir-1307,7,6,1,0.8571,0.3333,0.7554
hsa-mir-639,7,4,3,0.4286,0.1667,0.767
hsa-mir-632,7,7,0,1.0,,0.6653
hsa-mir-1299,7,0,7,0.0,,0.76
hsa-mir-3655,7,5,2,0.2857,0.0,0.3907
hsa-mir-182,7,6,1,0.1429,0.6667,0.1222
hsa-mir-409,7,7,0,0.5714,,0.4904
hsa-mir-323b,7,4,3,0.5714,0.75,0.9917
hsa-mir-382,6,6,0,0.5,,0.4954
hsa-mir-518e,6,6,0,1.0,,0.8779
hsa-mir-516a-2,6,4,2,0.6667,0.5,0.9386
hsa-mir-3180-4,6,0,6,1.0,,0.4646
hsa-mir-181b-1,6,6,0,1.0,,0.9029
hsa-mir-6859-3,6,0,6,1.0,,0.2366
hsa-mir-4477a,6,0,6,1.0,,0.3216
hsa-mir-520a,6,6,0,1.0,,0.6272
hsa-mir-5004,6,6,0,0.3333,,0.45
hsa-mir-3199-2,6,0,6,0.1667,,0.5743
hsa-mir-656,6,6,0,0.1667,,0.4786
hsa-mir-520e,6,6,0,1.0,,0.8554
hsa-mir-1302-3,6,3,3,0.5,0.8889,0.4122
hsa-mir-4465,6,0,6,1.0,,0.1677
hsa-mir-181d,6,6,0,0.0,,0.4783
hsa-mir-4477b,6,0,6,1.0,,0.3585
hsa-mir-323a,6,6,0,1.0,,0.9575
hsa-mir-663b,6,5,1,0.8333,0.0,0.5916
hsa-mir-1294,6,4,2,0.6667,0.375,0.637
hsa-mir-663a,6,6,0,1.0,,0.931
hsa-mir-3199-1,6,0,6,1.0,,0.3296
hsa-mir-4440,6,3,3,0.1667,0.1111,0.5853
hsa-mir-555,6,6,0,0.3333,,0.4889
hsa-mir-3939,5,2,3,0.6,0.1667,0.4131
hsa-mir-520b,5,4,1,0.2,1.0,0.3397
hsa-mir-93,5,4,1,0.2,1.0,0.4573
